Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/28/2021,AQS,60730001,1,0.042,ppm,39,Chula Vista,14,82.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/29/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/30/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
01/31/2021,AQS,60730001,1,0.037,ppm,34,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/01/2021,AQS,60730001,1,0.02,ppm,19,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/02/2021,AQS,60730001,1,0.029,ppm,27,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/03/2021,AQS,60730001,1,0.029,ppm,27,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/04/2021,AQS,60730001,1,0.041,ppm,38,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/05/2021,AQS,60730001,1,0.044,ppm,41,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/06/2021,AQS,60730001,1,0.053,ppm,49,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/07/2021,AQS,60730001,1,0.056,ppm,54,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/08/2021,AQS,60730001,1,0.051,ppm,47,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/09/2021,AQS,60730001,1,0.041,ppm,38,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/10/2021,AQS,60730001,1,0.044,ppm,41,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/11/2021,AQS,60730001,1,0.049,ppm,45,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/12/2021,AQS,60730001,1,0.039,ppm,36,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/13/2021,AQS,60730001,1,0.041,ppm,38,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/14/2021,AQS,60730001,1,0.043,ppm,40,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/15/2021,AQS,60730001,1,0.04,ppm,37,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
02/16/2021,AQS,60730001,1,0.042,ppm,39,Chula Vista,17,100.0,44201,Ozone,47.0,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.6312420008573,-117.059088
