pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,Zip_Code,p_white,p_black,p_asian,p_hispanic,p_poverty
18300.0,116600.0,42.5,14504.0,310.0,474.0,3397.0,1845.0,ZCTA5 91901,91901,0.792568306010929,0.016939890710382512,0.025901639344262296,0.18562841530054644,0.10081967213114754
17445.0,121727.0,46.9,7318.0,255.0,2578.0,8241.0,1017.0,ZCTA5 91902,91902,0.41948982516480365,0.014617368873602751,0.14777873316136428,0.4723989681857266,0.05829750644883921
3375.0,58561.0,44.9,2235.0,204.0,15.0,1016.0,507.0,ZCTA5 91906,91906,0.6622222222222223,0.060444444444444446,0.0044444444444444444,0.30103703703703705,0.15022222222222223
77957.0,87705.0,38.4,28568.0,2888.0,8215.0,50129.0,7978.0,ZCTA5 91910,91910,0.36645843221263,0.03704606385571533,0.10537860615467501,0.6430339802711751,0.10233846864296985
84619.0,79334.0,36.7,28566.0,3447.0,6106.0,63244.0,8862.0,ZCTA5 91911,91911,0.33758375778489463,0.04073553220907834,0.07215873503586664,0.7473971566669424,0.1047282525201196
57067.0,129412.0,35.6,14377.0,4767.0,15044.0,27003.0,3281.0,ZCTA5 91913,91913,0.25193193964988525,0.08353339057598963,0.2636199554909142,0.4731806473093031,0.05749382305009901
17036.0,164398.0,38.4,6606.0,550.0,3065.0,8916.0,626.0,ZCTA5 91914,91914,0.38776708147452454,0.032284573843625264,0.17991312514674807,0.5233622916177506,0.03674571495656257
35385.0,138283.0,34.9,10726.0,2853.0,8166.0,15405.0,2111.0,ZCTA5 91915,91915,0.30312279214356364,0.08062738448495126,0.2307757524374735,0.4353539635438745,0.05965804719513918
25897.0,79071.0,35.2,12669.0,1185.0,1765.0,13145.0,3938.0,ZCTA5 91932,91932,0.48920724408232613,0.045758195930030506,0.06815461250337877,0.5075877514770051,0.15206394563076805
9466.0,138953.0,45.7,7153.0,76.0,136.0,2281.0,315.0,ZCTA5 91935,91935,0.755651806465244,0.008028734417916754,0.01436720895837735,0.24096767377984366,0.03327699133741813
33706.0,111607.0,41.2,21585.0,2385.0,1740.0,8803.0,2347.0,ZCTA5 91941,91941,0.6403904349373999,0.07075891532664808,0.05162285646472438,0.26117011807986706,0.0696315196107518
40920.0,81262.0,37.5,25146.0,2979.0,2866.0,11054.0,5076.0,ZCTA5 91942,91942,0.614516129032258,0.07280058651026393,0.07003910068426197,0.2701368523949169,0.12404692082111438
27531.0,79381.0,38.8,9939.0,4099.0,2616.0,12127.0,2790.0,ZCTA5 91945,91945,0.36101122371145256,0.1488867095274418,0.09502015909338564,0.4404852711488867,0.10134030728996404
57173.0,63858.0,36.3,18533.0,2467.0,9404.0,38273.0,8017.0,ZCTA5 91950,91950,0.32415650744232416,0.043149738512934424,0.1644832350934882,0.6694243786402673,0.1402235320868242
62957.0,92407.0,35.3,25676.0,7761.0,4534.0,29201.0,6493.0,ZCTA5 91977,91977,0.4078339183887415,0.12327461600775132,0.07201740870753054,0.46382451514525785,0.10313388503264133
10511.0,111506.0,38.4,4734.0,1208.0,642.0,3859.0,1404.0,ZCTA5 91978,91978,0.45038531062696224,0.11492721910379602,0.061078869755494244,0.3671391875178385,0.13357435068023976
4978.0,110577.0,41.2,3461.0,13.0,110.0,1310.0,826.0,ZCTA5 92003,92003,0.6952591402169546,0.0026114905584572116,0.02209722780233025,0.2631578947368421,0.16593009240658899
11764.0,165063.0,39.0,8929.0,46.0,433.0,2475.0,1597.0,ZCTA5 92007,92007,0.7590105406324379,0.003910234614076844,0.03680720843250595,0.21038762325739543,0.13575314518871132
27707.0,105371.0,42.6,19837.0,292.0,2084.0,5166.0,2218.0,ZCTA5 92008,92008,0.7159562565416682,0.01053885299743747,0.07521564947486195,0.18645107734507524,0.08005197242574079
45778.0,162128.0,43.3,33578.0,590.0,4023.0,7330.0,2803.0,ZCTA5 92009,92009,0.7334964393376732,0.01288828695006335,0.08788064135610993,0.16012058193892262,0.061230285289877236
17300.0,120612.0,40.6,11659.0,110.0,2408.0,2756.0,1418.0,ZCTA5 92010,92010,0.6739306358381503,0.006358381502890174,0.13919075144508672,0.1593063583815029,0.08196531791907515
23715.0,154985.0,43.6,16265.0,202.0,2744.0,3930.0,1466.0,ZCTA5 92011,92011,0.6858528357579591,0.008517815728441914,0.11570735821210204,0.1657179000632511,0.06181741513809825
13260.0,194528.0,53.1,10295.0,186.0,839.0,1280.0,527.0,ZCTA5 92014,92014,0.776395173453997,0.014027149321266969,0.06327300150829562,0.09653092006033183,0.03974358974358974
45801.0,99266.0,40.1,32680.0,903.0,1476.0,9768.0,4825.0,ZCTA5 92019,92019,0.7135215388310299,0.019715726730857405,0.03222637060326194,0.21327045261020502,0.10534704482434881
58490.0,72822.0,36.3,37253.0,3789.0,2599.0,16511.0,9543.0,ZCTA5 92020,92020,0.6369122926996068,0.06478030432552573,0.04443494614464011,0.2822875705248761,0.16315609505898443
69306.0,69979.0,36.0,42095.0,4449.0,3696.0,19550.0,12426.0,ZCTA5 92021,92021,0.6073788705162613,0.06419357631373906,0.05332871612847372,0.28208235939168325,0.1792918362046576
50030.0,149080.0,44.3,39901.0,343.0,2339.0,7207.0,2879.0,ZCTA5 92024,92024,0.797541475114931,0.006855886468119129,0.04675194883070158,0.14405356785928444,0.05754547271637018
50046.0,71716.0,36.8,22150.0,1245.0,2788.0,26716.0,8303.0,ZCTA5 92025,92025,0.44259281461055827,0.02487711305598849,0.05570874795188427,0.5338288774327619,0.16590736522399394
53041.0,97301.0,39.0,29452.0,1065.0,4332.0,21192.0,5939.0,ZCTA5 92026,92026,0.5552685658264361,0.02007880696065308,0.08167266831319168,0.39953997850719253,0.1119699854829283
55232.0,86106.0,36.3,25631.0,1141.0,3618.0,31249.0,6505.0,ZCTA5 92027,92027,0.4640606894553882,0.020658314020857473,0.06550550405561993,0.5657770857473928,0.11777592699884125
50905.0,102346.0,38.7,29236.0,984.0,2150.0,21468.0,5734.0,ZCTA5 92028,92028,0.5743247225223456,0.01933012474216678,0.04223553678420587,0.42172674589922404,0.11264119438169139
20296.0,120038.0,43.9,13849.0,430.0,1874.0,4774.0,998.0,ZCTA5 92029,92029,0.6823512022073315,0.0211864406779661,0.09233346472211273,0.23521876231769806,0.04917225068979109
