pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,state,county,tract,GEOID,p_white,p_black,p_asian,p_hispanic,p_poverty,STATE,COUNTY,TRACT,centroid_lon,centroid_lat,region
2661.0,83678.0,39.7,1725.0,236.0,384.0,357.0,388.0,Census Tract 9.02; San Diego County; California,06,073,000902,06073000902,0.6482525366403608,0.08868846298384066,0.14430665163472378,0.13416009019165728,0.1458098459225855,06,073,000902,-117.14462495081966,32.7515861147541,coastal
4622.0,86443.0,33.9,2728.0,268.0,259.0,1590.0,385.0,Census Tract 10; San Diego County; California,06,073,001000,06073001000,0.5902206836867157,0.057983556901774126,0.05603634790134141,0.34400692340977934,0.0832972739073994,06,073,001000,-117.14160647706423,32.76112551376147,coastal
2939.0,94007.0,35.1,1701.0,183.0,289.0,643.0,111.0,Census Tract 11; San Diego County; California,06,073,001100,06073001100,0.5787682885335148,0.06226607689690371,0.0983327662470228,0.2187818986049677,0.037767948281728476,06,073,001100,-117.13428178378379,32.76509931081081,coastal
2290.0,68750.0,31.9,1256.0,346.0,134.0,1064.0,235.0,Census Tract 12.01; San Diego County; California,06,073,001201,06073001201,0.548471615720524,0.15109170305676856,0.05851528384279476,0.4646288209606987,0.10262008733624454,06,073,001201,-117.12837468181819,32.758108166666666,coastal
2966.0,102857.0,33.5,1901.0,376.0,176.0,615.0,472.0,Census Tract 12.02; San Diego County; California,06,073,001202,06073001202,0.6409305461901551,0.126770060687795,0.05933917734322319,0.20734996628455832,0.15913688469318948,06,073,001202,-117.13455793939394,32.758760151515155,coastal
2713.0,105903.0,32.8,1669.0,109.0,203.0,964.0,196.0,Census Tract 13.01; San Diego County; California,06,073,001301,06073001301,0.6151861408035385,0.04017692591227424,0.07482491706597862,0.35532620715075564,0.07224474751197936,06,073,001301,-117.12904587878788,32.75133118181818,coastal
3245.0,83659.0,31.5,1727.0,198.0,425.0,983.0,259.0,Census Tract 13.02; San Diego County; California,06,073,001302,06073001302,0.5322033898305085,0.061016949152542375,0.13097072419106318,0.3029275808936826,0.0798151001540832,06,073,001302,-117.1344846097561,32.751012841463414,coastal
3341.0,94156.0,38.5,2634.0,65.0,143.0,622.0,325.0,Census Tract 14; San Diego County; California,06,073,001400,06073001400,0.7883867105656989,0.019455252918287938,0.042801556420233464,0.18617180484884766,0.09727626459143969,06,073,001400,-117.1332990617284,32.744883333333334,coastal
3934.0,110380.0,36.2,2799.0,95.0,128.0,816.0,163.0,Census Tract 15; San Diego County; California,06,073,001500,06073001500,0.7114895780376207,0.02414844941535333,0.03253685815963396,0.20742247076766648,0.04143365531265887,06,073,001500,-117.12299571631206,32.74357226241135,coastal
5065.0,63003.0,31.9,1829.0,634.0,247.0,2768.0,1100.0,Census Tract 16; San Diego County; California,06,073,001600,06073001600,0.36110562685093783,0.12517275419545904,0.04876604146100691,0.5464955577492596,0.21717670286278382,06,073,001600,-117.12176507333332,32.75181108666667,coastal
4846.0,90404.0,34.4,2620.0,167.0,439.0,1786.0,442.0,Census Tract 17; San Diego County; California,06,073,001700,06073001700,0.540652084193149,0.03446141147338011,0.0905901774659513,0.36855138258357406,0.09120924473792819,06,073,001700,-117.12131521311476,32.75833606557377,coastal
1805.0,70682.0,36.7,866.0,56.0,155.0,928.0,137.0,Census Tract 18.01; San Diego County; California,06,073,001801,06073001801,0.47977839335180056,0.03102493074792244,0.08587257617728532,0.5141274238227147,0.07590027700831024,06,073,001801,-117.11365485810812,32.76236145945946,coastal
